B94 ,Russia , Semi,Auto Rifle , 12.7 × 108 mm,
M38/49 ,Italy , SMG , 9 × 19 mm Parabellum,,
Model 2 ,Italy , SMG , 9 × 19 mm Parabellum,,
Model 4 ,Italy , SMG , 9 × 19 mm Parabellum,,
Beretta Model 5 ,Italy , SMG , 9 × 19 mm Parabellum,,
Model 1 ,Italy , SMG , 9 × 19 mm Parabellum,,
Model 3 ,Italy , SMG , 9 × 19 mm Parabellum,,
Model 6 ,Italy , SMG , 9 × 19 mm Parabellum: Prototype,,
Model 7 ,Italy , SMG , 9 × 19 mm Parabellum: Prototype,,
Model 8 ,Italy , SMG , 9 × 19 mm Parabellum: Prototype,,
Model 9 ,Italy , SMG , 9 × 19 mm Parabellum: Prototype,,
Model 10 ,Italy , SMG , 9 × 19 mm Parabellum: Prototype,,
Model 11 ,Italy , SMG , 9 × 19 mm Parabellum: Prototype,,
Model 12 ,Italy , SMG , 9 × 19 mm Parabellum,,
PM12S ,Italy , SMG , 9 × 19 mm Parabellum,,
PM12S2 ,Italy , SMG , 9 × 19 mm Parabellum,,
Beretta 1S ,Italy , Flare Pistol ," 1""",,
Beretta P,30 M.781 ,Italy , Carbine , ,
Bergmann MP18 ,Germany , SMG , 9 × 19 mm Parabellum,,
Bergmann MP28 ,Germany , SMG , 9 × 19 mm Parabellum,,
Bergman Number 5 ,Germany , Pistol,,,
Bergmann 1896 ,Germany , Pistol,,,
Bergmann Simplex ,Germany , Pistol,,,
Bergmann,Bayard model 1910 ,Germany , Pistol , 9 × 23 mm Bergmann;Bayard/9 mm Largo,
Bergmann,Bayard .45 ,Germany , Pistol , .45 ACP,
Bergom BSM9,M1 ,Brazil , SMG , 9 × 19 mm Parabellum; .45 ACP,
Bernardelli 69 ,Italy , Pistol , .22 LR,,
Bernardelli B4 ,Italy , Semi,Auto/Pump Action Shotgun , 12 Gauge,
Bernardelli B4/B ,Italy , Pump Action Shotgun , 12 Gauge,,
Bernardelli Mod. USA ,Italy , Pistol , .22 LR; 7.65 × 17 mm;.32 ACP; 9 × 17 mm;.380 ACP,,
Bernardelli P One ,Italy , Pistol,,,
Bernardelli PO,18,Italy , Pistol , 9 × 19 mm Parabellum,
Bernardelli P0,18 Compact ,Italy , Pistol , 9 × 19 mm Parabellum,
Bernardelli P6 ,Italy , Pistol , .22 LR; 7.65 × 17 mm;.32 ACP; 9 × 17 mm;.380 ACP,,
Bernardelli P8 ,Italy , Pistol , .22 LR; 7.65 × 17 mm;.32 ACP;9 × 17 mm;.380 ACP,,
Bernardelli PS 023 ,Italy , Signal Pistol , 37 mm,,
Bernardelli VB,SR ,Italy , Assault Rifle , 5.56 mm NATO,
Bersa 83 ,Argentina , Pistol , 9 × 17 mm;.380 ACP,,
Bersa 95 ,Argentina , Pistol , 9 × 17 mm;.380 ACP,,
Bersa Mini,Thunder 9 ,Argentina , Pistol , 9 × 19 mm Parabellum,
Bersa Mini,Thunder 40 ,Argentina , Pistol , .40 S&W,
Bersa Thunder 9 ,Argentina , Pistol , 9 × 19 mm Parabellum,,
Bersa Thunder 22 ,Argentina , Pistol , .22 LR,,
Bersa Thunder 32 ,Argentina , Pistol , 7.65 × 17 mm;.32 ACP,,
Bersa Thunder 40 ,Argentina , Pistol , .40 S&W,,
Bersa Thunder 45 ,Argentina , Pistol , .45 ACP,,
Bersa Thunder 380 ,Argentina , Pistol , 9 × 17 mm;.380 ACP,,
Berthier 1890 ,France , Bolt Action,,,
Berthier MLE 1916 ,France , Bolt Action,,,
Beryl wz.96 ,Poland , Assault Rifle , 5.56 mm NATO,,
BFG 50 ,US , Bolt Action Rifle , .50 BMG,,
Bingham AK 22 ,US , Rifle , .22 LR,,
Bizon,,,,,
Bizon 2 ,Russia , SMG , 9 × 18 mm Makarov,,
Bizon 2,1,Russia , SMG , 9 × 19 mm Parabellum,
Bizon 2,2,Russia , SMG , 9 × 17 mm;.380 ACP,
Bizon 2,3,Russia , SMG , 9 × 18 mm Makarov,
Bizon 2,4,Russia , Semi,Auto Carbine , 9 × 18 mm Makarov
Bizon 2,5,Russia , Semi,Auto Carbine , 9 × 19 mm Parabellum
Bizon 2,6,Russia , Semi,Auto Carbine , 9 × 17 mm;.380 ACP
Bizon 2,7,Russia , SMG , 7.62 × 25 mm,
Bizon 3 ,Russia , SMG , 9 × 18 mm Makarov,,
Blackmore machine gun,,,,,
Blanch four,barreled pistol ,UK,,,
Blaser 93 Tactical ,Germany , Bolt Action Rifle , 7.62 × 51 mm,,
Blunderbuss,,,,,
Bofors AGR ,Sweden , Pump,Action Grenade Launcher , 40 mm Medium Velocity Grenade,
Booth pocket percussion pistol ,UK,,,,
Bor ,Poland , Sniper rifle , 7.62×51mm NATO,,
Borchardt C,93,Germany , Pistol,,
BORZ ,Transnistria , Submachine Gun , 9 × 18 mm Makarov,,
Boys Anti,Tank Rifle ,UK , Bolt Acton Rifle , .55 Boys,
BR55 Battle Rifle,,,,,
Breda,,,,,
Breda M1935 PG Rifle ,Costa Rica , Automatic Rifle , 6.5 × 52 mm Carcano,,
Breda Modello 30 machine gun ,Italy , LMG,,,
Breda Modello 37 machine gun ,Italy , HMG,,,
Bren LMG,,,,,
Bren Mk I ,UK , LMG , .303 British,,
Bren Mk II ,UK , LMG , .303 British,,
Bren Mk III ,UK , LMG , .303 British,,
Bren Mk IV ,UK , LMG , .303 British,,
Bren Ten ,US , Pistol , 10 mm Auto ; .45 ACP,,
Britarms Model 2000 ,UK , Pistol , .22 LR,,
Brown Bess ,UK , Rifle,,,
Brown Tactical Elite ,US , Bolt Acton Rifle,,,
Browning Machine Guns,,,,,
Browning M2 ,US/Belgium , HMG , .50 BMG,,
Browning M1917 ,US , HMG ,0.3,'06,
Browning M1917A1 ,US , HMG ,0.3,'06,
Browning M1918 BAR ,US , LMG ,0.3,'06,
Browning M1918A1 BAR ,US , LMG ,0.3,'06,
Browning M1918A2 BAR ,US , LMG ,0.3,'06,
Browning M1922 BAR ,US , LMG ,0.3,'06,
Browning wz.1928 ,Poland , LMG , 7.92 × 57 mm Mauser: Licensed Production,,
Browning M1919A4 ,US , MMG ,0.3,'06,
Browning M1919A6 ,US , LMG ,0.3,'06,
Browning M1921 ,US , HMG , .50 BMG,,
Browning Pistols,,,,,
Browning Baby ,Belgium , Pistol , 6.35 mm/.25 ACP,,
Browning BDA.9 ,Switzerland/Germany , Pistol , 9 × 19 mm Parabellum: SIG,Sauer P220,
Browning BDA.38 ,Switzerland/Germany , Pistol , .38 Super: SIG,Sauer P220,
Browning BDA.45 ,Switzerland/Germany , Pistol , .45 ACP: SIG,Sauer P220,
Browning BDA.380 ,Belgium/Italy , Pistol , 9 × 17 mm/.380 ACP: Beretta Model 84 Variant,,
Browning BDM ,US , Pistol , 9 × 19 mm Parabellum,,
Browning Buck Mark ,US , Pistol , .22 LR,,
Browning Challenger ,Belgium , Pistol , .22 LR,,
Browning Forty Nine ,US , DAO Pistol , 9 × 19 mm Parabellum ; .40 S&W,,
Browning Hi,Power ,Belgium , Pistol , 9 × 19 mm Parabellum,
Browning Hi,Power Mk.II ,Belgium , Pistol , 9 × 19 mm Parabellum,
Browning Hi,Power Mk.III ,Belgium , Pistol , 9 × 19 mm Parabellum ; .40 S&W,
Browning HP,DA/HP,DAO ,Belgium , Pistol , 9 × 19 mm Parabellum
Browning Medalist ,Belgium , Pistol , .22 LR,,
Browning Rifles,,,,,
Browning A,Bolt ,Japan , Bolt Acton Rifle,,
Browning BAR ,Sporting ,Belgium/Japan , Semi,Auto Rifle,
Browning BLR ,Lever Action Rifle,,,,
Browning M71 ,Japan , Lever Action Rifle,,,
Browning Shotguns,,,,,
Browning Citori ,Japan , O/U Shotgun , .410 Bore; 28 Gauge; 20 Gauge; 16 Gauge; 12 Gauge,,
Browning Superposed ,US , O/U Shotgun , .410 Bore; 28 Gauge; 20 Gauge; 16 Gauge; 12 Gauge,,
BRS,99,Poland , Semi,Auto Carbine,
Brügger & Thomet MP5 ,Swiss , SMG , 9 × 19 mm Parabellum: Enhanced Custom MP5,,
BS,1 30 mm ,Russia , Grenade Launcher , 30 mm Grenade,
BSA,,,,,
BSA Welgun ,UK , SMG , 9 × 19mm Parabellum,,
BSA Experimental Model 1 ,UK , SMG , 9 × 19mm Parabellum,,
Companhia de Explosivos de Valparaiba,,,,,
BSM/9 M1 ,Brazil , SMG , 9 × 19mm Parabellum,,
BSM/9 M2 ,Brazil , SMG , 9 × 19mm Parabellum,,
BSM/9 M3 ,Brazil , SMG , 9 × 19mm Parabellum,,
BSW Modell 1 ,Germany , Anti Tank Rifle , 15mm,,
BT,96,Swiss , Semi,Auto Carbine , 9 × 19 mm Parabellum: MP5 clone
BT MP9 ,Swiss , SMG , 9 × 19 mm Parabellum: Licensed Production Steyr TMP,,
BTS,203,Thailand , Grenade Launcher , 40mm,
Buenos Aires Halcón,,,,,
Halcon M,1943,Argentina , Submachine Gun , 9 × 19 mm Parabellum ; .45 ACP,
Halcon M,1946,Argentina , Submachine Gun , 9 × 19 mm Parabellum ; .45 ACP,
Halcon M57 ,Argentina , Submachine Gun , 9 × 19 mm Parabellum ; .45 ACP,,
Halcon M60 ,Argentina , Submachine Gun , 9 × 19 mm Parabellum ; .45 ACP,,
Halcon ML,57,Argentina , Submachine Gun , ,
Halcon ML,63,Argentina , Submachine Gun , 9 × 19 mm Parabellum,
Bul M,5,Israel , Pistol,,
Bul Cherokee ,Israel , Pistol,,,
Bul Storm ,Israel , Pistol,,,
Bulgarian SLR,95,Bulgaria,,,
Burnside carbine,,,,,
Burton Model 1918 ,US , Machine Gun , ,,
Bushmaster ACR ,AKA Magpul Masada Bushmaster ACR , Adaptive Combat Rifle unmod version fires 5.56 × 45mm,,,
Bushmaster Arm Pistol ,US , Pistol , 5.56 mm NATO,,
Bushmaster M4 Type Carbine ,US , Assault Rifle / Semi,Auto Rifle , 5.56 mm NATO,
Bushmaster M17S ,US , Semi,Auto Rifle , 5.56 mm NATO: Bullpup,
Bushmaster DCM ,US , Semi,Auto Rifle , 5.56 mm NATO,
Bushmaster V Match 16 ,US , Semi,Auto Rifle , 5.56 mm NATO,
Bushmaster V match 20 ,US , Semi,Auto Rifle , 5.56 mm NATO,
Bushmaster XM15 E2S ,US , Semi,Auto Rifle , 5.56 mm NATO,
BUTT,MASTER Pen Gun ,US , Pistol , .22 LR,
BXP ,South Africa , SMG , 9 × 19 mm Parabellum,,
