B94 ,Russia , Semi,Auto Rifle , 12.7 × 108 mm,
M1950 ,Italy , Pistol , 9 × 19 mm Parabellum: Prototype for M951,,
M1951 ,Italy , Pistol , 9 × 19 mm Parabellum,,
Model 104 ,Italy , Pistol , 9 × 19 mm Parabellum,,
M951,A ,Italy , Machine Pistol , 9 × 19 mm Parabellum,
M951,R ,Italy , Machine Pistol , 9 × 19 mm Parabellum,
M951,S ,Italy , Pistol , 9 × 19 mm Parabellum: Target Model,
M952 ,Italy , Pistol , 7.65 × 21 mm Parabellum,,
M952,S ,Italy , Pistol , 7.65 × 21 mm Parabellum: Target Model,
70,Italy , Pistol , .22 LR & 7.65 × 17 mm;.32 ACP,,
70S ,Italy , Pistol , .22 LR & 9 × 17 mm;.380 ACP,,
71,Italy , Pistol , .22 LR,,
72,Italy , Pistol , .22 LR,,
73,Italy , Pistol , .22 LR,,
74,Italy , Pistol , .22 LR,,
100,Italy , Pistol , 7.65 × 17 mm;.32 ACP,,
75,Italy , Pistol , .22 LR,,
76,Italy , Pistol , .22 LR,,
102,Italy , Pistol , .22 LR,,
M80 Olimpionica ,Italy , Pistol , .22 Short,,
81 Series,,,,,
81B Cheetah ,Italy , Pistol , 7.65 × 17 mm;.32 ACP,,
81FS Cheetah ,Italy , Pistol , 7.65 × 17 mm;.32 ACP,,
82B Cheetah ,Italy , Pistol , 7.65 × 17 mm;.32 ACP,,
83 Cheetah ,Italy , Pistol , 9 × 17 mm;.380 ACP,,
83F Cheetah ,Italy , Pistol , 9 × 17 mm;.380 ACP,,
83FS Cheetah ,Italy , Pistol , 9 × 17 mm;.380 ACP,,
84 Cheetah ,Italy , Pistol , 9 × 17 mm;.380 ACP,,
84B Cheetah ,Italy , Pistol , 9 × 17 mm/;.380 ACP,,
84BB Cheetah ,Italy , Pistol , 9 × 17 mm;.380 ACP,,
84F Cheetah ,Italy , Pistol , 9 × 17 mm;.380 ACP,,
84FS Cheetah ,Italy , Pistol , 9 × 17 mm;.380 ACP,,
85 Cheetah ,Italy , Pistol , 9 × 17 mm;.380 ACP,,
85B Cheetah ,Italy , Pistol , 9 × 17 mm;.380 ACP,,
85BB Cheetah ,Italy , Pistol , 9 × 17 mm;.380 ACP,,
85F Cheetah ,Italy , Pistol , 9 × 17 mm;.380 ACP,,
85FS Cheetah ,Italy , Pistol , 9 × 17 mm;.380 ACP,,
86 Cheetah ,Italy , Pistol , 9 × 17 mm;.380 ACP,,
86FS Cheetah ,Italy , Pistol , 9 × 17 mm;.380 ACP,,
87 Cheetah ,Italy , Pistol , .22 LR,,
87LB Cheetah ,Italy , Pistol , .22 LR,,
87BB Cheetah ,Italy , Pistol , .22 LR,,
87BB/LB Cheetah ,Italy , Pistol , .22 LR,,
89,Italy , Pistol , .22 LR,,
90,Italy , Pistol , 7.65 × 17 mm/.32 ACP,,
92 Series,,,,,
92,Italy , Pistol , 9 × 19 mm Parabellum,,
92 Billennium ,Italy , Pistol , 9 × 19 mm Parabellum,,
92CB ,Italy , Pistol , 9 × 19 mm Parabellum,,
92 Combat ,Italy , Pistol , 9 × 19 mm Parabellum,,
92 Stock ,Italy , Pistol , 9 × 19 mm Parabellum,,
92D ,Italy , Pistol , 9 × 19 mm Parabellum,,
92D Brigadier ,Italy , Pistol , 9 × 19 mm Parabellum,,
92D Compact L ,Italy , Pistol , 9 × 19 mm Parabellum,,
92D Vertec ,Italy , Pistol , 9 × 19 mm Parabellum,,
92DS ,Italy , Pistol , 9 × 19 mm Parabellum,,
92S ,Italy , Pistol , 9 × 19 mm Parabellum,,
92S,1,Italy , Pistol , 9 × 19 mm Parabellum,
92SB ,Italy , Pistol , 9 × 19 mm Parabellum,,
92SB Compact ,Italy , Pistol , 9 × 19 mm Parabellum,,
92SB,F ,Italy , Pistol , 9 × 19 mm Parabellum,
92F/FS ,Italy , Pistol , 9 × 19 mm Parabellum,,
M9 Pistol ,Italy/US , Pistol , 9 × 19 mm Parabellum,,
92FS Brigadier ,Italy , Pistol , 9 × 19 mm Parabellum,,
92FS Centurion ,Italy , Pistol , 9 × 19 mm Parabellum,,
92FS Compact L ,Italy , Pistol , 9 × 19 mm Parabellum,,
92FS Compact Type M ,Italy , Pistol , 9 × 19 mm Parabellum,,
92FS Competition ,Italy , Pistol , 9 × 19 mm Parabellum,,
92FS Target ,Italy , Pistol , 9 × 19 mm Parabellum,,
92FS Vertec ,Italy , Pistol , 9 × 19 mm Parabellum,,
92G ,Italy , Pistol , 9 × 19 mm Parabellum,,
92G Centurion ,Italy , Pistol , 9 × 19 mm Parabellum,,
92G Elite I ,Italy , Pistol , 9 × 19 mm Parabellum,,
92G Elite IA ,Italy , Pistol , 9 × 19 mm Parabellum,,
92G Elite II ,Italy , Pistol , 9 × 19 mm Parabellum,,
92G,SD ,Italy , Pistol , 9 × 19 mm Parabellum,
92G Vertec ,Italy , Pistol , 9 × 19 mm Parabellum,,
93R ,Italy , Machine Pistol , 9 × 19 mm Parabellum,,
96 Series,,,,,
96 Brigadier ,Italy , Pistol , .40 S&W,,
96D ,Italy , Pistol , .40 S&W,,
96DS ,Italy , Pistol , .40 S&W,,
96D Brigadier ,Italy , Pistol , .40 S&W,,
96D Vertec ,Italy , DAO Pistol , .40 S&W,,
96G ,Italy , Pistol , 9 × 19 mm Parabellum,,
96G Elite I ,Italy , Pistol , .40 S&W,,
96G Elite IA ,Italy , Pistol , .40 S&W,,
96G Elite II ,Italy , Pistol , .40 S&W,,
96G,SD ,Italy , Pistol , .40 S&W,
96G Vertec ,Italy , Pistol , .40 S&W,,
96 Special ,Italy , Pistol , .40 S&W,,
96 Vertec ,Italy , Pistol , .40 S&W,,
98 Series,,,,,
98,Italy , Pistol , 7.65 × 21 mm Parabellum,,
98SB Compact ,Italy , Pistol , 7.65 × 21 mm Parabellum,,
98FS ,Italy , Pistol , 9 × 21 mm IMI,,
98FS Brigadier ,Italy , Pistol , 9 × 21 mm IMI,,
98FS Combat ,Italy , Pistol , 9 × 21 mm IMI,,
98FS Competition ,Italy , Pistol , 9 × 21 mm IMI,,
98FS Target ,Italy , Pistol , 9 × 21 mm IMI,,
98G Elite II ,Italy , Pistol , 9 × 21 mm IMI,,
98 Billennium ,Italy , Pistol , 9 × 21 mm IMI,,
99,Italy , Pistol , 7.65 × 21 mm Parabellum,,
8000 Series,,,,,
8000F Cougar L ,Italy , Pistol , 9 × 19 mm Parabellum,,
8000D Cougar L ,Italy , Pistol , 9 × 19 mm Parabellum,,
8000F Cougar L Type P ,Italy , Pistol , 9 × 19 mm Parabellum,,
8000D Cougar L Type P ,Italy , Pistol , 9 × 19 mm Parabellum,,
8000 Cougar F ,Italy , Pistol , 9 × 19 mm Parabellum; 9 × 21 mm IMI; .41 Action Express,,
8040 Cougar F ,Italy , Pistol , .40 S&W,,
